section	package	install	detail	run	programs
sound	espeak-ng	ok		ok	espeak-ng:view:ok,speak-ng:view:ok
sound	tuxguitar-jack	script	update-alternatives: using /usr/share/sounds/sf2/FluidR3_GM.sf2 to provide /usr/share/sounds/sf2/default-GM.sf2 (default-GM.sf2) in auto mode update-alternatives: using /usr/share/sounds/sf2/FluidR3_GM.sf2 to provide /usr/share/sounds/sf3/default-GM.sf3 (default-GM.sf3) in auto mode update-alterna	-	
video	obs-transition-table	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
video	kodi-eventclients-common	ok		none	
video	voctomix-core	ok		ok	voctocore:view:ok
games	davegnukem	ok		untested	davegnukem:view:hang
games	penguin-command	ok		ok	penguin-command:view:ok
games	wesnoth-1.18-tools	ok		none	
electronics	lepton-eda	ok		ok	lepton-archive:view:hang,lepton-attrib:view:ok,lepton-cli:view:ok,lepton-config:view:ok,lepton-embed:view:ok,lepton-export:view:ok
electronics	librnd4t64	ok		none	
electronics	atlc-examples	ok		none	
hamradio	soapysdr0.8-module-volkconverters	ok		none	
hamradio	psk31lx	ok		ok	psk31lx:view:ok
hamradio	cwdaemon	ok		ok	cwdaemon:view:ok
education	progvis-examples	ok		none	
education	artikulate	skew	- libqt6core6t64:amd64=6.11.2+dfsg-5 is not selected for install because: libqt6core6t64:amd64=6.10.2+dfsg-16 is selected for install	-	
education	progvis	ok		fail	progvis:direct:fail
embedded	matchbox-window-manager	ok		ok	matchbox-remote:direct:gui,matchbox-window-manager:view:ok
embedded	rkflashtool	ok		ok	rkcrc:direct:ok,rkflashtool:direct:ok,rkmisc:direct:ok,rkpad:direct:ok,rkparameters:direct:ok,rkparametersblock:direct:ok
embedded	log2ram	ok		ok	log2ram:view:ok
x11	lomiri-polkit-agent	ok		none	
