section	package	sample
gnu-r	r-cran-conflicted	in-scope
gnu-r	r-cran-wk	in-scope
gnu-r	r-bioc-affyio	in-scope
interpreters	erlang-odbc	in-scope
interpreters	lua-moses	in-scope
interpreters	cpp-16-for-build	in-scope
utils	pixelmed-apps	in-scope
utils	zipcmp	in-scope
utils	sedsed	in-scope
text	apvlv	in-scope
text	hyphen-nl	in-scope
text	dblatex	in-scope
editors	vim-addon-manager	in-scope
editors	texworks	in-scope
editors	ng-cjk	in-scope
shells	bash-static	in-scope
shells	yash	in-scope
shells	fish-common	in-scope
doc	starlink-task-java-doc	in-scope
doc	python-django-split-settings-doc	in-scope
doc	monodoc-hexbox-manual	in-scope
fonts	fonts-taml-tamu	in-scope
fonts	fonts-terminus-otb	in-scope
fonts	font-manager-common	in-scope
localization	firefox-esr-l10n-da	in-scope
localization	libvirt-l10n	in-scope
localization	libreoffice-l10n-ko	in-scope
tex	latexml	in-scope
tex	csv2latex	in-scope
tex	purifyeps	in-scope
science	gyoto-bin	in-scope
science	mricron	in-scope
science	flextra	in-scope
math	qalculate-gtk	in-scope
math	scotch-64	in-scope
math	octave-nlopt	in-scope
graphics	libtiff-tools	in-scope
graphics	heif-thumbnailer	in-scope
graphics	ocrmypdf	in-scope
sound	mopidy-alsamixer	in-scope
sound	espeak-ng	in-scope
sound	tuxguitar-jack	in-scope
video	obs-transition-table	in-scope
video	kodi-eventclients-common	in-scope
video	voctomix-core	in-scope
games	davegnukem	in-scope
games	penguin-command	in-scope
games	wesnoth-1.18-tools	in-scope
electronics	lepton-eda	in-scope
electronics	librnd4t64	in-scope
electronics	atlc-examples	in-scope
hamradio	soapysdr0.8-module-volkconverters	in-scope
hamradio	psk31lx	in-scope
hamradio	cwdaemon	in-scope
education	progvis-examples	in-scope
education	artikulate	in-scope
education	progvis	in-scope
embedded	matchbox-window-manager	in-scope
embedded	rkflashtool	in-scope
embedded	log2ram	in-scope
x11	lomiri-polkit-agent	in-scope
x11	eviacam	in-scope
x11	twm	in-scope
gnome	gnome-extra-icons	in-scope
gnome	gnome-shell-extension-manager	in-scope
gnome	eog-plugin-send-by-mail	in-scope
kde	kalarm	in-scope
kde	plasma-browser-integration	in-scope
kde	sddm-theme-debian-maui	in-scope
xfce	xfce4-dev-tools	in-scope
xfce	xfce4-taskmanager	in-scope
xfce	parole-dev	in-scope
web	shaarli	in-scope
web	ceilometer-common	in-scope
web	compass-blueprint-plugin	in-scope
comm	asterisk-mysql	in-scope
comm	wmbusmeters	in-scope
comm	mgetty-docs	in-scope
admin	apt-verify	out-of-scope
admin	arpwatch	out-of-scope
admin	fai-client	out-of-scope
cli-mono	cli-common-dev	out-of-scope
cli-mono	hexbox	out-of-scope
cli-mono	libhexbox1.5-cil	out-of-scope
database	fis-gtm	out-of-scope
database	kexi-mysql-driver	out-of-scope
database	mariadb-client-compat	out-of-scope
gnustep	addressmanager.app	out-of-scope
gnustep	adun.app	out-of-scope
gnustep	batmon.app	out-of-scope
httpd	libapache2-mod-log-slow	out-of-scope
httpd	libapache2-mod-neko	out-of-scope
httpd	libapache2-mod-sts	out-of-scope
kernel	linux-base-7.1.13+deb14-cloud-amd64	out-of-scope
kernel	linux-base-7.1.6+deb14-amd64	out-of-scope
kernel	linux-binary-7.1.3+deb14-rt-amd64	out-of-scope
mail	biabam	out-of-scope
mail	chasquid	out-of-scope
mail	claws-mail-litehtml-viewer	out-of-scope
metapackages	astro-virtual-observatory	out-of-scope
metapackages	games-content-dev	out-of-scope
metapackages	jupyter	out-of-scope
misc	fp-units-castle-game-engine	out-of-scope
misc	libhsm-bin	out-of-scope
misc	libjuman-perl	out-of-scope
net	ahcpd	out-of-scope
net	fireqos	out-of-scope
net	freeipa-common	out-of-scope
news	canlock	out-of-scope
news	inn	out-of-scope
news	innduct	out-of-scope
oldlibs	clutter-1.0-tests	out-of-scope
oldlibs	libclutter-1.0-dev	out-of-scope
oldlibs	libclutter-1.0-doc	out-of-scope
otherosfs	cen64	out-of-scope
otherosfs	dumpet	out-of-scope
otherosfs	dvdisaster	out-of-scope
tasks	task-albanian-desktop	out-of-scope
tasks	task-amharic	out-of-scope
tasks	task-blendsel	out-of-scope
zope	python3-zc.buildout	out-of-scope
zope	python3-zope.component	out-of-scope
zope	python3-zope.configuration	out-of-scope
